Date,Carrier,Type,Departure Airport,Departure City,Destination Airport,Destination City,dep_lat,dep_lon,dest_lat,dest_lon,Full Route,pair_key,tilt
2025-12-31,Eastern Air Express,B738,Phoenix-Mesa Gateway (KIWA),"Phoenix, AZ",El Paso Intl (KELP),"El Paso, TX",33.3089787,-111.6559353,31.8058228,-106.3705379,"El Paso, TX → Columbus, GA → Phoenix, AZ → El Paso, TX",El Paso Intl (KELP)|Phoenix-Mesa Gateway (KIWA),90
2025-12-31,Eastern Air Express,B737,El Paso Intl (KELP),"El Paso, TX",Newark Liberty Intl (KEWR),"Newark, NJ",31.8058228,-106.3705379,40.6884837,-74.1768635999999,"El Paso, TX → Newark, NJ → El Paso, TX",El Paso Intl (KELP)|Newark Liberty Intl (KEWR),90
2025-12-31,Eastern Air Express,B737,Newark Liberty Intl (KEWR),"Newark, NJ",El Paso Intl (KELP),"El Paso, TX",40.6884837,-74.1768635999999,31.8058228,-106.3705379,"El Paso, TX → Newark, NJ → El Paso, TX",El Paso Intl (KELP)|Newark Liberty Intl (KEWR),-90
2025-12-31,Eastern Air Express,B737,Youngstown/Warren Rgnl (KYNG),"Youngstown, OH",Laurence G Hanscom Fld (KBED),"Bedford, MA",41.0997678,-80.6477199999999,42.4615318,-71.2913117,"Youngstown, OH → Bedford, MA → Alexandria, LA → Youngstown, OH",Laurence G Hanscom Fld (KBED)|Youngstown/Warren Rgnl (KYNG),90
2025-12-31,Eastern Air Express,B737,Laurence G Hanscom Fld (KBED),"Bedford, MA",Alexandria Intl (KAEX),"Alexandria, LA",42.4615318,-71.2913117,31.3274006,-92.5451921,"Youngstown, OH → Bedford, MA → Alexandria, LA → Youngstown, OH",Alexandria Intl (KAEX)|Laurence G Hanscom Fld (KBED),-90
2025-12-31,Eastern Air Express,B737,Alexandria Intl (KAEX),"Alexandria, LA",Youngstown/Warren Rgnl (KYNG),"Youngstown, OH",31.3274006,-92.5451921,41.0997678,-80.6477199999999,"Youngstown, OH → Bedford, MA → Alexandria, LA → Youngstown, OH",Alexandria Intl (KAEX)|Youngstown/Warren Rgnl (KYNG),90
2025-12-31,Eastern Air Express,B733,El Paso Intl (KELP),"El Paso, TX",Alexandria Intl (KAEX),"Alexandria, LA",31.8058228,-106.3705379,31.3274006,-92.5451921,"Alexandria, LA → Harlingen, TX → El Paso, TX → Alexandria, LA",Alexandria Intl (KAEX)|El Paso Intl (KELP),90
2025-12-31,Eastern Air Express,B733,Alexandria Intl (KAEX),"Alexandria, LA",Valley Intl (KHRL),"Harlingen, TX",31.3274006,-92.5451921,26.2234764,-97.6623631,"Alexandria, LA → Harlingen, TX → El Paso, TX → Alexandria, LA",Alexandria Intl (KAEX)|Valley Intl (KHRL),-90
2025-12-31,Eastern Air Express,B733,Valley Intl (KHRL),"Harlingen, TX",El Paso Intl (KELP),"El Paso, TX",26.2234764,-97.6623631,31.8058228,-106.3705379,"Alexandria, LA → Harlingen, TX → El Paso, TX → Alexandria, LA",El Paso Intl (KELP)|Valley Intl (KHRL),-90
2025-12-31,Key Lime,E45X,Valley Intl (KHRL),"Harlingen, TX",Salt Lake City Intl (KSLC),"Salt Lake City, UT",26.2234764,-97.6623631,40.7903145,-111.9771441,"Harlingen, TX → Salt Lake City, UT → Phoenix, AZ → Seattle, WA",Salt Lake City Intl (KSLC)|Valley Intl (KHRL),-90
2025-12-31,Key Lime,E45X,Salt Lake City Intl (KSLC),"Salt Lake City, UT",Phoenix-Mesa Gateway (KIWA),"Phoenix, AZ",40.7903145,-111.9771441,33.3089787,-111.6559353,"Harlingen, TX → Salt Lake City, UT → Phoenix, AZ → Seattle, WA",Phoenix-Mesa Gateway (KIWA)|Salt Lake City Intl (KSLC),90
2025-12-31,Key Lime,E45X,Phoenix-Mesa Gateway (KIWA),"Phoenix, AZ",Boeing Field Intl (KBFI),"Seattle, WA",33.3089787,-111.6559353,47.5369043,-122.3038555,"Harlingen, TX → Salt Lake City, UT → Phoenix, AZ → Seattle, WA",Boeing Field Intl (KBFI)|Phoenix-Mesa Gateway (KIWA),-90
2025-12-31,Key Lime,E45X,Alexandria Intl (KAEX),"Alexandria, LA",Springfield (KSGF),"Springfield, MO",31.3274006,-92.5451921,37.2454917,-93.3909351,"Alexandria, LA → Springfield, MO → El Paso, TX → Harlingen, TX",Alexandria Intl (KAEX)|Springfield (KSGF),-90
2025-12-31,Key Lime,E45X,Springfield (KSGF),"Springfield, MO",El Paso Intl (KELP),"El Paso, TX",37.2454917,-93.3909351,31.8058228,-106.3705379,"Alexandria, LA → Springfield, MO → El Paso, TX → Harlingen, TX",El Paso Intl (KELP)|Springfield (KSGF),-90
2025-12-31,Key Lime,E45X,El Paso Intl (KELP),"El Paso, TX",Valley Intl (KHRL),"Harlingen, TX",31.8058228,-106.3705379,26.2234764,-97.6623631,"Alexandria, LA → Springfield, MO → El Paso, TX → Harlingen, TX",El Paso Intl (KELP)|Valley Intl (KHRL),90
2025-12-31,Avelo,B738,Phoenix-Mesa Gateway (KIWA),"Phoenix, AZ",El Paso Intl (KELP),"El Paso, TX",33.3089787,-111.6559353,31.8058228,-106.3705379,"Phoenix, AZ → El Paso, TX → Harlingen, TX → Phoenix, AZ",El Paso Intl (KELP)|Phoenix-Mesa Gateway (KIWA),90
2025-12-31,Avelo,B738,El Paso Intl (KELP),"El Paso, TX",Valley Intl (KHRL),"Harlingen, TX",31.8058228,-106.3705379,26.2234764,-97.6623631,"Phoenix, AZ → El Paso, TX → Harlingen, TX → Phoenix, AZ",El Paso Intl (KELP)|Valley Intl (KHRL),90
2025-12-31,Avelo,B738,Valley Intl (KHRL),"Harlingen, TX",Phoenix-Mesa Gateway (KIWA),"Phoenix, AZ",26.2234764,-97.6623631,33.3089787,-111.6559353,"Phoenix, AZ → El Paso, TX → Harlingen, TX → Phoenix, AZ",Phoenix-Mesa Gateway (KIWA)|Valley Intl (KHRL),-90
2025-12-31,Avelo,B738,Mahlon Sweet Fld (KEUG),"Eugene, OR",Baltimore/Washington Intl (KBWI),"Baltimore, MD",44.1217811,-123.2159003,39.1825364,-76.6694033,"Eugene, OR → Baltimore, MD",Baltimore/Washington Intl (KBWI)|Mahlon Sweet Fld (KEUG),90
2025-12-31,Avelo,B738,Nashville Intl (KBNA),"Nashville, TN",Northwest Arkansas NTL,"Fayetteville, AR",36.1308194,-86.6661144999999,36.0618562,-94.1579584,"Nashville, TN → Fayetteville, AR",Nashville Intl (KBNA)|Northwest Arkansas NTL,-90
2025-12-31,CSI Aviation,B190,Conroe/North Houston Rgnl (KCXO),"Houston, TX",Valley Intl (KHRL),"Harlingen, TX",30.3496944999999,-95.4139893,26.2234764,-97.6623631,"Houston, TX → Harlingen, TX → Houston, TX → Killeen, TX",Conroe/North Houston Rgnl (KCXO)|Valley Intl (KHRL),-90
2025-12-31,CSI Aviation,B190,Valley Intl (KHRL),"Harlingen, TX",Conroe/North Houston Rgnl (KCXO),"Houston, TX",26.2234764,-97.6623631,30.3496944999999,-95.4139893,"Houston, TX → Harlingen, TX → Houston, TX → Killeen, TX",Conroe/North Houston Rgnl (KCXO)|Valley Intl (KHRL),90
2025-12-31,CSI Aviation,B190,Conroe/North Houston Rgnl (KCXO),"Houston, TX",Robert Gray Aaf (Fort Cavazos) (KGRK),"Killeen, TX",30.3496944999999,-95.4139893,31.0616824,-97.8210702,"Houston, TX → Harlingen, TX → Houston, TX → Killeen, TX",Conroe/North Houston Rgnl (KCXO)|Robert Gray Aaf (Fort Cavazos) (KGRK),-90
2025-12-31,Big Horn,DH8A,Conroe/North Houston Rgnl (KCXO),"Houston, TX",Valley Intl (KHRL),"Harlingen, TX",30.3496944999999,-95.4139893,26.2234764,-97.6623631,"Houston, TX → Harlingen, TX → Houston, TX",Conroe/North Houston Rgnl (KCXO)|Valley Intl (KHRL),-90
2025-12-31,Big Horn,DH8A,Valley Intl (KHRL),"Harlingen, TX",Conroe/North Houston Rgnl (KCXO),"Houston, TX",26.2234764,-97.6623631,30.3496944999999,-95.4139893,"Houston, TX → Harlingen, TX → Houston, TX",Conroe/North Houston Rgnl (KCXO)|Valley Intl (KHRL),90
2025-12-31,CSI Aviation,B190,Conroe/North Houston Rgnl (KCXO),"Houston, TX",Valley Intl (KHRL),"Harlingen, TX",30.3496944999999,-95.4139893,26.2234764,-97.6623631,"Houston, TX → Harlingen, TX → Houston, TX → Killeen, TX",Conroe/North Houston Rgnl (KCXO)|Valley Intl (KHRL),-90
2025-12-31,CSI Aviation,B190,Valley Intl (KHRL),"Harlingen, TX",Conroe/North Houston Rgnl (KCXO),"Houston, TX",26.2234764,-97.6623631,30.3496944999999,-95.4139893,"Houston, TX → Harlingen, TX → Houston, TX → Killeen, TX",Conroe/North Houston Rgnl (KCXO)|Valley Intl (KHRL),90
2025-12-31,CSI Aviation,B190,Conroe/North Houston Rgnl (KCXO),"Houston, TX",Robert Gray Aaf (Fort Cavazos) (KGRK),"Killeen, TX",30.3496944999999,-95.4139893,31.0616824,-97.8210702,"Houston, TX → Harlingen, TX → Houston, TX → Killeen, TX",Conroe/North Houston Rgnl (KCXO)|Robert Gray Aaf (Fort Cavazos) (KGRK),-90
2025-12-30,Avelo,B738,El Paso Intl (KELP),"El Paso, TX",Phoenix-Mesa Gateway (KIWA),"Phoenix, AZ",31.8058228,-106.3705379,33.3089787,-111.6559353,"Phoenix, AZ → Victorville, CA → San Diego, CA → Salt Lake City, UT → El Paso, TX → Phoenix, AZ",El Paso Intl (KELP)|Phoenix-Mesa Gateway (KIWA),-90
2025-12-30,GlobalX,A321,Alexandria Intl (KAEX),"Alexandria, LA",Lake City Gateway (KLCQ),"Lake City, FL",31.3274006,-92.5451921,30.1868315,-82.580983,"Alexandria, LA → Lake City, FL → El Paso, TX → Alexandria, LA",Alexandria Intl (KAEX)|Lake City Gateway (KLCQ),90
2025-12-30,GlobalX,A321,Lake City Gateway (KLCQ),"Lake City, FL",El Paso Intl (KELP),"El Paso, TX",30.1868315,-82.580983,31.8058228,-106.3705379,"Alexandria, LA → Lake City, FL → El Paso, TX → Alexandria, LA",El Paso Intl (KELP)|Lake City Gateway (KLCQ),-90
2025-12-30,GlobalX,A321,El Paso Intl (KELP),"El Paso, TX",Alexandria Intl (KAEX),"Alexandria, LA",31.8058228,-106.3705379,31.3274006,-92.5451921,"Alexandria, LA → Lake City, FL → El Paso, TX → Alexandria, LA",Alexandria Intl (KAEX)|El Paso Intl (KELP),90
2025-12-30,GlobalX,A320,Las Americas (SDQ / MDSD),"Santo Domingo, Dominican Republic",Luis Munoz Marin Intl (SJU / TJSJ),"San Juan, Puerto Rico",18.4626178,-69.9360923999999,18.4395043,-65.9992275,"Alexandria, LA → Miami, FL → Santo Domingo, Dominican Republic → San Juan, Puerto Rico → Miami, FL",Las Americas (SDQ / MDSD)|Luis Munoz Marin Intl (SJU / TJSJ),90
2025-12-30,Eastern Air Express,B738,El Paso Intl (KELP),"El Paso, TX",Dallas Love Field (KDAL),"Dallas, TX",31.8058228,-106.3705379,32.8438345,-96.8484951,"El Paso, TX → Dallas, TX → Alexandria, LA → Harlingen, TX → El Paso, TX",Dallas Love Field (KDAL)|El Paso Intl (KELP),90
2025-12-30,Eastern Air Express,B738,Dallas Love Field (KDAL),"Dallas, TX",Alexandria Intl (KAEX),"Alexandria, LA",32.8438345,-96.8484951,31.3274006,-92.5451921,"El Paso, TX → Dallas, TX → Alexandria, LA → Harlingen, TX → El Paso, TX",Alexandria Intl (KAEX)|Dallas Love Field (KDAL),90
2025-12-30,Eastern Air Express,B738,Alexandria Intl (KAEX),"Alexandria, LA",Valley Intl (KHRL),"Harlingen, TX",31.3274006,-92.5451921,26.2234764,-97.6623631,"El Paso, TX → Dallas, TX → Alexandria, LA → Harlingen, TX → El Paso, TX",Alexandria Intl (KAEX)|Valley Intl (KHRL),-90
2025-12-30,Eastern Air Express,B738,Valley Intl (KHRL),"Harlingen, TX",El Paso Intl (KELP),"El Paso, TX",26.2234764,-97.6623631,31.8058228,-106.3705379,"El Paso, TX → Dallas, TX → Alexandria, LA → Harlingen, TX → El Paso, TX",El Paso Intl (KELP)|Valley Intl (KHRL),-90
2025-12-30,Eastern Air Express,B737,El Paso Intl (KELP),"El Paso, TX",Minneapolis/St Paul Intl (KMSP),"Minneapolis, MN",31.8058228,-106.3705379,44.8850593,-93.2144354,"El Paso, TX → Minneapolis, MN → Omaha, NE → El Paso, TX",El Paso Intl (KELP)|Minneapolis/St Paul Intl (KMSP),90
2025-12-30,Eastern Air Express,B737,Minneapolis/St Paul Intl (KMSP),"Minneapolis, MN",Eppley Airfield (KOMA),"Omaha, NE",44.8850593,-93.2144354,41.3014753,-95.8945207,"El Paso, TX → Minneapolis, MN → Omaha, NE → El Paso, TX",Eppley Airfield (KOMA)|Minneapolis/St Paul Intl (KMSP),-90
2025-12-30,Eastern Air Express,B737,Eppley Airfield (KOMA),"Omaha, NE",El Paso Intl (KELP),"El Paso, TX",41.3014753,-95.8945207,31.8058228,-106.3705379,"El Paso, TX → Minneapolis, MN → Omaha, NE → El Paso, TX",El Paso Intl (KELP)|Eppley Airfield (KOMA),-90
2025-12-30,Eastern Air Express,B737,Youngstown/Warren Rgnl (KYNG),"Youngstown, OH",Indianapolis Intl (KIND),"Indianapolis, IN",41.0997678,-80.6477199999999,39.7222991999999,-86.3019561999999,"Youngstown, OH → Indianapolis, IN → Harlingen, TX → Alexandria, LA → Youngstown, OH",Indianapolis Intl (KIND)|Youngstown/Warren Rgnl (KYNG),-90
2025-12-30,Eastern Air Express,B737,Indianapolis Intl (KIND),"Indianapolis, IN",Valley Intl (KHRL),"Harlingen, TX",39.7222991999999,-86.3019561999999,26.2234764,-97.6623631,"Youngstown, OH → Indianapolis, IN → Harlingen, TX → Alexandria, LA → Youngstown, OH",Indianapolis Intl (KIND)|Valley Intl (KHRL),-90
2025-12-30,Eastern Air Express,B737,Valley Intl (KHRL),"Harlingen, TX",Alexandria Intl (KAEX),"Alexandria, LA",26.2234764,-97.6623631,31.3274006,-92.5451921,"Youngstown, OH → Indianapolis, IN → Harlingen, TX → Alexandria, LA → Youngstown, OH",Alexandria Intl (KAEX)|Valley Intl (KHRL),90
2025-12-30,Eastern Air Express,B737,Alexandria Intl (KAEX),"Alexandria, LA",Youngstown/Warren Rgnl (KYNG),"Youngstown, OH",31.3274006,-92.5451921,41.0997678,-80.6477199999999,"Youngstown, OH → Indianapolis, IN → Harlingen, TX → Alexandria, LA → Youngstown, OH",Alexandria Intl (KAEX)|Youngstown/Warren Rgnl (KYNG),90
2025-12-30,Eastern Air Express,B737,Youngstown/Warren Rgnl (KYNG),"Youngstown, OH",Willow Run (KYIP),"Ypsilanti, MI",41.0997678,-80.6477199999999,42.2349913,-83.5459542999999,"Youngstown, OH → Ypsilanti, MI → Richmond, VA → Alexandria, LA → Youngstown, OH",Willow Run (KYIP)|Youngstown/Warren Rgnl (KYNG),-90
2025-12-30,Eastern Air Express,B737,Willow Run (KYIP),"Ypsilanti, MI",Richmond Intl (KRIC),"Richmond, VA",42.2349913,-83.5459542999999,37.5105562,-77.3266991,"Youngstown, OH → Ypsilanti, MI → Richmond, VA → Alexandria, LA → Youngstown, OH",Richmond Intl (KRIC)|Willow Run (KYIP),90
2025-12-30,Eastern Air Express,B737,Richmond Intl (KRIC),"Richmond, VA",Alexandria Intl (KAEX),"Alexandria, LA",37.5105562,-77.3266991,31.3274006,-92.5451921,"Youngstown, OH → Ypsilanti, MI → Richmond, VA → Alexandria, LA → Youngstown, OH",Alexandria Intl (KAEX)|Richmond Intl (KRIC),-90
2025-12-30,Eastern Air Express,B737,Alexandria Intl (KAEX),"Alexandria, LA",Youngstown/Warren Rgnl (KYNG),"Youngstown, OH",31.3274006,-92.5451921,41.0997678,-80.6477199999999,"Youngstown, OH → Ypsilanti, MI → Richmond, VA → Alexandria, LA → Youngstown, OH",Alexandria Intl (KAEX)|Youngstown/Warren Rgnl (KYNG),90
2025-12-30,Key Lime,E45X,Valley Intl (KHRL),"Harlingen, TX",Kansas City Intl (KMCI),"Kansas City, MO",26.2234764,-97.6623631,39.3014091,-94.7104536,"Harlingen, TX → Kansas City, MO → Alexandria, LA → Harlingen, TX",Kansas City Intl (KMCI)|Valley Intl (KHRL),90
2025-12-30,Key Lime,E45X,Kansas City Intl (KMCI),"Kansas City, MO",Alexandria Intl (KAEX),"Alexandria, LA",39.3014091,-94.7104536,31.3274006,-92.5451921,"Harlingen, TX → Kansas City, MO → Alexandria, LA → Harlingen, TX",Alexandria Intl (KAEX)|Kansas City Intl (KMCI),90
2025-12-30,Key Lime,E45X,Alexandria Intl (KAEX),"Alexandria, LA",Valley Intl (KHRL),"Harlingen, TX",31.3274006,-92.5451921,26.2234764,-97.6623631,"Harlingen, TX → Kansas City, MO → Alexandria, LA → Harlingen, TX",Alexandria Intl (KAEX)|Valley Intl (KHRL),-90
2025-12-30,Key Lime,E45X,Nashville Intl (KBNA),"Nashville, TN",Alexandria Intl (KAEX),"Alexandria, LA",36.1308194,-86.6661144999999,31.3274006,-92.5451921,"Nashville, TN → Alexandria, LA → Tampa, FL → Alexandria, LA",Alexandria Intl (KAEX)|Nashville Intl (KBNA),-90
2025-12-30,Key Lime,E45X,Alexandria Intl (KAEX),"Alexandria, LA",Tampa Intl (KTPA),"Tampa, FL",31.3274006,-92.5451921,27.9768646,-82.5302804,"Nashville, TN → Alexandria, LA → Tampa, FL → Alexandria, LA",Alexandria Intl (KAEX)|Tampa Intl (KTPA),90
2025-12-30,Key Lime,E45X,Tampa Intl (KTPA),"Tampa, FL",Alexandria Intl (KAEX),"Alexandria, LA",27.9768646,-82.5302804,31.3274006,-92.5451921,"Nashville, TN → Alexandria, LA → Tampa, FL → Alexandria, LA",Alexandria Intl (KAEX)|Tampa Intl (KTPA),-90
2025-12-30,Avelo,B738,Phoenix-Mesa Gateway (KIWA),"Phoenix, AZ",Denver Intl (KDEN),"Denver, CO",33.3089787,-111.6559353,39.8563486,-104.6764061,"Phoenix, AZ → Denver, CO → Las Vegas, NV → Phoenix, AZ",Denver Intl (KDEN)|Phoenix-Mesa Gateway (KIWA),90
2025-12-30,Avelo,B738,Denver Intl (KDEN),"Denver, CO",Harry Reid Intl (KLAS),"Las Vegas, NV",39.8563486,-104.6764061,36.0830907,-115.1482238,"Phoenix, AZ → Denver, CO → Las Vegas, NV → Phoenix, AZ",Denver Intl (KDEN)|Harry Reid Intl (KLAS),-90
2025-12-30,Avelo,B738,Harry Reid Intl (KLAS),"Las Vegas, NV",Phoenix-Mesa Gateway (KIWA),"Phoenix, AZ",36.0830907,-115.1482238,33.3089787,-111.6559353,"Phoenix, AZ → Denver, CO → Las Vegas, NV → Phoenix, AZ",Harry Reid Intl (KLAS)|Phoenix-Mesa Gateway (KIWA),90
2025-12-30,Avelo,B738,Willow Run (KYIP),"Ypsilanti, MI",Orlando Intl (KMCO),"Orlando, FL",42.2349913,-83.5459542999999,28.4244422,-81.3104595,"Ypsilanti, MI → Orlando, FL",Orlando Intl (KMCO)|Willow Run (KYIP),90
2025-12-30,CSI Aviation,B190,Conroe/North Houston Rgnl (KCXO),"Houston, TX",Valley Intl (KHRL),"Harlingen, TX",30.3496944999999,-95.4139893,26.2234764,-97.6623631,"Houston, TX → Harlingen, TX → Houston, TX",Conroe/North Houston Rgnl (KCXO)|Valley Intl (KHRL),-90
2025-12-30,CSI Aviation,B190,Valley Intl (KHRL),"Harlingen, TX",Conroe/North Houston Rgnl (KCXO),"Houston, TX",26.2234764,-97.6623631,30.3496944999999,-95.4139893,"Houston, TX → Harlingen, TX → Houston, TX",Conroe/North Houston Rgnl (KCXO)|Valley Intl (KHRL),90
2025-12-30,Big Horn,DH8A,Conroe/North Houston Rgnl (KCXO),"Houston, TX",Valley Intl (KHRL),"Harlingen, TX",30.3496944999999,-95.4139893,26.2234764,-97.6623631,"Houston, TX → Harlingen, TX → Houston, TX",Conroe/North Houston Rgnl (KCXO)|Valley Intl (KHRL),-90
2025-12-30,Big Horn,DH8A,Valley Intl (KHRL),"Harlingen, TX",Conroe/North Houston Rgnl (KCXO),"Houston, TX",26.2234764,-97.6623631,30.3496944999999,-95.4139893,"Houston, TX → Harlingen, TX → Houston, TX",Conroe/North Houston Rgnl (KCXO)|Valley Intl (KHRL),90
2025-12-29,GlobalX,A321,Robert Gray Aaf (Fort Cavazos) (KGRK),"Killeen, TX",Baltimore/Washington Intl (KBWI),"Baltimore, MD",31.0616824,-97.8210702,39.1825364,-76.6694033,"Killeen, TX → Baltimore, MD → Tampa, FL → Alexandria, LA",Baltimore/Washington Intl (KBWI)|Robert Gray Aaf (Fort Cavazos) (KGRK),90
2025-12-29,GlobalX,A321,Baltimore/Washington Intl (KBWI),"Baltimore, MD",Tampa Intl (KTPA),"Tampa, FL",39.1825364,-76.6694033,27.9768646,-82.5302804,"Killeen, TX → Baltimore, MD → Tampa, FL → Alexandria, LA",Baltimore/Washington Intl (KBWI)|Tampa Intl (KTPA),-90
2025-12-29,GlobalX,A321,Tampa Intl (KTPA),"Tampa, FL",Alexandria Intl (KAEX),"Alexandria, LA",27.9768646,-82.5302804,31.3274006,-92.5451921,"Killeen, TX → Baltimore, MD → Tampa, FL → Alexandria, LA",Alexandria Intl (KAEX)|Tampa Intl (KTPA),-90
2025-12-29,GlobalX,A320,Opa-locka Executive (KOPF),"Miami, FL",Jacksonville Intl (KJAX),"Jacksonville, FL",25.9092857,-80.2683641,30.4943308,-81.6871496999999,"Miami, FL → Jacksonville, FL → Harlingen, TX → Alexandria, LA",Jacksonville Intl (KJAX)|Opa-locka Executive (KOPF),-90
2025-12-29,GlobalX,A320,Jacksonville Intl (KJAX),"Jacksonville, FL",Valley Intl (KHRL),"Harlingen, TX",30.4943308,-81.6871496999999,26.2234764,-97.6623631,"Miami, FL → Jacksonville, FL → Harlingen, TX → Alexandria, LA",Jacksonville Intl (KJAX)|Valley Intl (KHRL),-90
2025-12-29,GlobalX,A320,Valley Intl (KHRL),"Harlingen, TX",Alexandria Intl (KAEX),"Alexandria, LA",26.2234764,-97.6623631,31.3274006,-92.5451921,"Miami, FL → Jacksonville, FL → Harlingen, TX → Alexandria, LA",Alexandria Intl (KAEX)|Valley Intl (KHRL),90
2025-12-29,GlobalX,A321,Alexandria Intl (KAEX),"Alexandria, LA",Lawson AAF (Fort Benning) (KLSF),"Columbus, GA",31.3274006,-92.5451921,32.337925,-84.992149,"Alexandria, LA → Columbus, GA → Harlingen, TX → Alexandria, LA",Alexandria Intl (KAEX)|Lawson AAF (Fort Benning) (KLSF),90
2025-12-29,GlobalX,A321,Lawson AAF (Fort Benning) (KLSF),"Columbus, GA",Valley Intl (KHRL),"Harlingen, TX",32.337925,-84.992149,26.2234764,-97.6623631,"Alexandria, LA → Columbus, GA → Harlingen, TX → Alexandria, LA",Lawson AAF (Fort Benning) (KLSF)|Valley Intl (KHRL),-90
2025-12-29,GlobalX,A321,Valley Intl (KHRL),"Harlingen, TX",Alexandria Intl (KAEX),"Alexandria, LA",26.2234764,-97.6623631,31.3274006,-92.5451921,"Alexandria, LA → Columbus, GA → Harlingen, TX → Alexandria, LA",Alexandria Intl (KAEX)|Valley Intl (KHRL),90
2025-12-29,Eastern Air Express,B733,Robert Gray Aaf (Fort Cavazos) (KGRK),"Killeen, TX",Alexandria Intl (KAEX),"Alexandria, LA",31.0616824,-97.8210702,31.3274006,-92.5451921,"Killeen, TX → Alexandria, LA → Phoenix, AZ → Alexandria, LA",Alexandria Intl (KAEX)|Robert Gray Aaf (Fort Cavazos) (KGRK),90
2025-12-29,Eastern Air Express,B733,Alexandria Intl (KAEX),"Alexandria, LA",Phoenix-Mesa Gateway (KIWA),"Phoenix, AZ",31.3274006,-92.5451921,33.3089787,-111.6559353,"Killeen, TX → Alexandria, LA → Phoenix, AZ → Alexandria, LA",Alexandria Intl (KAEX)|Phoenix-Mesa Gateway (KIWA),-90
2025-12-29,Eastern Air Express,B733,Phoenix-Mesa Gateway (KIWA),"Phoenix, AZ",Alexandria Intl (KAEX),"Alexandria, LA",33.3089787,-111.6559353,31.3274006,-92.5451921,"Killeen, TX → Alexandria, LA → Phoenix, AZ → Alexandria, LA",Alexandria Intl (KAEX)|Phoenix-Mesa Gateway (KIWA),90
